case_id,template,gate,score,novelty,assertion_id,signature
gen_state_overwrite_protection_003,state_overwrite_protection,VALID,0.7464,0.5774,SD_PROTECT_OVERWRITTEN,4c1809d6d4eb3d65
gen_state_overwrite_protection_004,state_overwrite_protection,VALID,0.7,0.5,SD_PROTECT_OVERWRITTEN,4c1809d6d4eb3d65
gen_state_overwrite_protection_005,state_overwrite_protection,VALID,0.6683,0.4472,SD_PROTECT_OVERWRITTEN,4c1809d6d4eb3d65
gen_state_read_before_write_001,state_read_before_write,VALID,1.0,1.0,SD_READ_STATE_CLOBBERED,d9329cfe5bddd894
gen_state_read_before_write_002,state_read_before_write,VALID,0.8243,0.7071,SD_READ_STATE_CLOBBERED,d9329cfe5bddd894
gen_state_read_before_write_003,state_read_before_write,VALID,0.7464,0.5774,SD_READ_STATE_CLOBBERED,d9329cfe5bddd894
gen_state_read_before_write_004,state_read_before_write,VALID,0.7,0.5,SD_READ_STATE_CLOBBERED,d9329cfe5bddd894
gen_state_read_before_write_005,state_read_before_write,VALID,0.6683,0.4472,SD_READ_STATE_CLOBBERED,d9329cfe5bddd894
gen_state_rollback_001,state_rollback,VALID,1.0,1.0,SD_ROLLBACK_NOT_RESTORED,025bed38bc80b788
gen_state_rollback_002,state_rollback,VALID,0.8243,0.7071,SD_ROLLBACK_NOT_RESTORED,025bed38bc80b788
gen_state_rollback_003,state_rollback,VALID,0.7464,0.5774,SD_ROLLBACK_NOT_RESTORED,025bed38bc80b788
gen_state_rollback_004,state_rollback,VALID,0.7,0.5,SD_ROLLBACK_NOT_RESTORED,025bed38bc80b788
gen_state_rollback_005,state_rollback,VALID,0.6683,0.4472,SD_ROLLBACK_NOT_RESTORED,025bed38bc80b788
gen_state_sequence_dependency_001,state_sequence_dependency,VALID,1.0,1.0,SD_SEQUENCE_WRONG_ORDER,655dd38a04c5f709
gen_state_sequence_dependency_002,state_sequence_dependency,VALID,0.8243,0.7071,SD_SEQUENCE_WRONG_ORDER,655dd38a04c5f709
gen_state_sequence_dependency_003,state_sequence_dependency,VALID,0.7464,0.5774,SD_SEQUENCE_WRONG_ORDER,655dd38a04c5f709
gen_state_sequence_dependency_004,state_sequence_dependency,VALID,0.7,0.5,SD_SEQUENCE_WRONG_ORDER,655dd38a04c5f709
gen_state_sequence_dependency_005,state_sequence_dependency,VALID,0.6683,0.4472,SD_SEQUENCE_WRONG_ORDER,655dd38a04c5f709
