actions,answer,assertion_id,case_id,detail,elapsed_s,gate,model,novelty,score,signature,tags,template
"{'calc': 1, 'FINISH': 1}",ERROR: unsupported expression,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_001,,0.919,VALID,qwen0p5,1.0,1.0,092e86251129cc3e,"character_level,substring",char_substring_overlap
"{'calc': 1, 'file_append': 1, 'FINISH': 1}",4,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_002,,1.532,VALID,qwen0p5,1.0,1.0,647d703f99b727ef,"character_level,substring",char_substring_overlap
"{'calc': 1, 'FINISH': 1}",4,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_003,,0.711,VALID,qwen0p5,0.7071,0.8243,092e86251129cc3e,"character_level,substring",char_substring_overlap
"{'calc': 1, 'FINISH': 1}",ERROR: unsupported expression,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_004,,0.805,VALID,qwen0p5,0.5774,0.7464,092e86251129cc3e,"character_level,substring",char_substring_overlap
"{'calc': 1, 'FINISH': 1}",5,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_005,,0.835,VALID,qwen0p5,0.5,0.7,092e86251129cc3e,"character_level,substring",char_substring_overlap
"{'kv_set': 1, 'FINISH': 1}",101,SD_COND_WRONG_VALUE,gen_state_conditional_write_001,,0.753,VALID,qwen0p5,1.0,1.0,c58e14a4f70a39d2,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'FINISH': 1}",80,SD_COND_WRONG_VALUE,gen_state_conditional_write_002,,0.736,VALID,qwen0p5,0.7071,0.8243,c58e14a4f70a39d2,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'FINISH': 1}",67,SD_COND_WRONG_VALUE,gen_state_conditional_write_003,,0.668,VALID,qwen0p5,0.5774,0.7464,c58e14a4f70a39d2,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'FINISH': 1}",61,SD_COND_WRONG_VALUE,gen_state_conditional_write_004,,0.704,VALID,qwen0p5,0.5,0.7,c58e14a4f70a39d2,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'FINISH': 1}",80,SD_COND_WRONG_VALUE,gen_state_conditional_write_005,,0.648,VALID,qwen0p5,0.4472,0.6683,c58e14a4f70a39d2,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'FINISH': 1}",keep-55,SD_PROTECT_WRONG_FINAL,gen_state_overwrite_protection_001,no failure reproduced,0.825,AGENT_PASSED,qwen0p5,,0.0,,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 12, 'MAX_STEPS': 1}",,SD_PROTECT_OVERWRITTEN,gen_state_overwrite_protection_002,,12.337,VALID,qwen0p5,1.0,1.0,624dfcdff2201b24,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'FINISH': 1}",swap-365,SD_PROTECT_OVERWRITTEN,gen_state_overwrite_protection_003,,0.862,VALID,qwen0p5,1.0,1.0,2fed6337768005d9,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'FINISH': 1}",keep-56,SD_PROTECT_WRONG_FINAL,gen_state_overwrite_protection_004,no failure reproduced,0.627,AGENT_PASSED,qwen0p5,,0.0,,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'FINISH': 1}",swap-248,SD_PROTECT_OVERWRITTEN,gen_state_overwrite_protection_005,,0.595,VALID,qwen0p5,0.7071,0.8243,2fed6337768005d9,"state_discipline,overwrite_protection",state_overwrite_protection
"{'MALFORMED': 1, 'calc': 11, 'MAX_STEPS': 1}",,SD_READ_STATE_CLOBBERED,gen_state_read_before_write_001,,7.292,VALID,qwen0p5,1.0,1.0,629b7c2a65cfdd7f,"state_discipline,read_before_write",state_read_before_write
"{'MALFORMED': 1, 'kv_set': 1, 'FINISH': 1}",96,SD_READ_STATE_CLOBBERED,gen_state_read_before_write_002,,1.155,VALID,qwen0p5,1.0,1.0,dd2c146e34aa1da5,"state_discipline,read_before_write",state_read_before_write
"{'MALFORMED': 1, 'kv_set': 1, 'FINISH': 1}",139,SD_READ_STATE_CLOBBERED,gen_state_read_before_write_003,,1.343,VALID,qwen0p5,0.7071,0.8243,dd2c146e34aa1da5,"state_discipline,read_before_write",state_read_before_write
"{'MALFORMED': 1, 'calc': 11, 'MAX_STEPS': 1}",,SD_READ_STATE_CLOBBERED,gen_state_read_before_write_004,,8.718,VALID,qwen0p5,0.7071,0.8243,629b7c2a65cfdd7f,"state_discipline,read_before_write",state_read_before_write
"{'MALFORMED': 1, 'calc': 1, 'kv_get': 1, 'file_append': 1, 'FINISH': 1}",89,SD_READ_STATE_CLOBBERED,gen_state_read_before_write_005,,2.165,VALID,qwen0p5,1.0,1.0,6767c6a0cd8a7c97,"state_discipline,read_before_write",state_read_before_write
"{'calc': 1, 'FINISH': 1}",123,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_001,,0.505,VALID,qwen0p5,1.0,1.0,a1ce207647a58826,"state_discipline,state_rollback",state_rollback
"{'calc': 1, 'FINISH': 1}",95,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_002,,0.456,VALID,qwen0p5,0.7071,0.8243,a1ce207647a58826,"state_discipline,state_rollback",state_rollback
"{'calc': 1, 'FINISH': 1}",56,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_003,,0.751,VALID,qwen0p5,0.5774,0.7464,a1ce207647a58826,"state_discipline,state_rollback",state_rollback
"{'calc': 1, 'FINISH': 1}",98,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_004,,0.459,VALID,qwen0p5,0.5,0.7,a1ce207647a58826,"state_discipline,state_rollback",state_rollback
"{'calc': 1, 'FINISH': 1}",52,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_005,,0.751,VALID,qwen0p5,0.4472,0.6683,a1ce207647a58826,"state_discipline,state_rollback",state_rollback
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_001,,0.796,VALID,qwen0p5,1.0,1.0,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_002,,0.721,VALID,qwen0p5,0.7071,0.8243,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_003,,0.741,VALID,qwen0p5,0.5774,0.7464,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_004,,0.648,VALID,qwen0p5,0.5,0.7,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_005,,0.689,VALID,qwen0p5,0.4472,0.6683,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'calc': 1, 'kv_set': 3, 'FINISH': 1}","{'diff_1': 1, 'index': 2}",CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_001,,5.171,VALID,qwen1p5,1.0,1.0,73b29a137cbf3a8f,"character_level,fine_grained_compare",char_fine_compare
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_COMPARE_WRONG_FINAL,gen_char_fine_compare_002,no failure reproduced,2.409,AGENT_PASSED,qwen1p5,,0.0,,"character_level,fine_grained_compare",char_fine_compare
"{'calc': 1, 'kv_set': 11, 'MAX_STEPS': 1}",,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_003,,14.057,VALID,qwen1p5,1.0,1.0,7b2932af1b70fafc,"character_level,fine_grained_compare",char_fine_compare
"{'calc': 1, 'kv_set': 11, 'MAX_STEPS': 1}",,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_004,,14.356,VALID,qwen1p5,0.7071,0.8243,7b2932af1b70fafc,"character_level,fine_grained_compare",char_fine_compare
"{'calc': 1, 'kv_set': 11, 'MAX_STEPS': 1}",,CH_COMPARE_WRONG_INDEX,gen_char_fine_compare_005,,14.758,VALID,qwen1p5,0.5774,0.7464,7b2932af1b70fafc,"character_level,fine_grained_compare",char_fine_compare
"{'kv_set': 1, 'FINISH': 1}",y10c,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_001,no failure reproduced,1.547,AGENT_PASSED,qwen1p5,,0.0,,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",u92a,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_002,no failure reproduced,1.545,AGENT_PASSED,qwen1p5,,0.0,,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",w90c,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_003,no failure reproduced,1.529,AGENT_PASSED,qwen1p5,,0.0,,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",w84b,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_004,no failure reproduced,1.522,AGENT_PASSED,qwen1p5,,0.0,,"character_level,format_extraction",char_format_extract
"{'kv_set': 1, 'FINISH': 1}",y66c,CH_FORMAT_WRONG_FINAL,gen_char_format_extract_005,no failure reproduced,1.521,AGENT_PASSED,qwen1p5,,0.0,,"character_level,format_extraction",char_format_extract
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_LETTER_WRONG_COUNT,gen_char_letter_count_001,,2.868,VALID,qwen1p5,1.0,1.0,9207a5ca709cfa25,"character_level,letter_count",char_letter_count
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_LETTER_WRONG_FINAL,gen_char_letter_count_002,no failure reproduced,2.878,AGENT_PASSED,qwen1p5,,0.0,,"character_level,letter_count",char_letter_count
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_LETTER_WRONG_COUNT,gen_char_letter_count_003,,2.77,VALID,qwen1p5,0.7071,0.8243,9207a5ca709cfa25,"character_level,letter_count",char_letter_count
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",7,CH_LETTER_WRONG_COUNT,gen_char_letter_count_004,,2.453,VALID,qwen1p5,0.5774,0.7464,9207a5ca709cfa25,"character_level,letter_count",char_letter_count
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_LETTER_WRONG_COUNT,gen_char_letter_count_005,,2.828,VALID,qwen1p5,0.5,0.7,9207a5ca709cfa25,"character_level,letter_count",char_letter_count
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",3,CH_SUBSTR_WRONG_FINAL,gen_char_substring_overlap_001,no failure reproduced,2.549,AGENT_PASSED,qwen1p5,,0.0,,"character_level,substring",char_substring_overlap
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_SUBSTR_WRONG_FINAL,gen_char_substring_overlap_002,no failure reproduced,2.505,AGENT_PASSED,qwen1p5,,0.0,,"character_level,substring",char_substring_overlap
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_003,,2.557,VALID,qwen1p5,1.0,1.0,fe424d5b9cd6e8aa,"character_level,substring",char_substring_overlap
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",6,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_004,,2.755,VALID,qwen1p5,0.7071,0.8243,fe424d5b9cd6e8aa,"character_level,substring",char_substring_overlap
"{'calc': 1, 'kv_set': 1, 'FINISH': 1}",4,CH_SUBSTR_WRONG_COUNT,gen_char_substring_overlap_005,,2.528,VALID,qwen1p5,0.5774,0.7464,fe424d5b9cd6e8aa,"character_level,substring",char_substring_overlap
"{'kv_set': 2, 'calc': 5, 'kv_get': 2, 'file_write': 2, 'file_read': 1, 'MAX_STEPS': 1}",,SD_COND_WRONG_VALUE,gen_state_conditional_write_001,,15.075,VALID,qwen1p5,1.0,1.0,77d3e828311c6827,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'calc': 5, 'file_write': 1, 'file_read': 2, 'file_append': 2, 'kv_get': 1, 'MAX_STEPS': 1}",,SD_COND_WRONG_VALUE,gen_state_conditional_write_002,,14.317,VALID,qwen1p5,1.0,1.0,70fe4cba0b0c4fc8,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 2, 'calc': 4, 'kv_get': 2, 'file_write': 1, 'file_read': 1, 'FINISH': 1}",67,SD_COND_WRONG_FINAL,gen_state_conditional_write_003,no failure reproduced,12.156,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'calc': 6, 'kv_get': 3, 'file_write': 1, 'file_read': 1, 'MAX_STEPS': 1}",,SD_COND_WRONG_VALUE,gen_state_conditional_write_004,,14.016,VALID,qwen1p5,1.0,1.0,38008c5d2f7dd42d,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'calc': 6, 'kv_get': 3, 'file_write': 1, 'file_read': 1, 'MAX_STEPS': 1}",,SD_COND_WRONG_VALUE,gen_state_conditional_write_005,,13.978,VALID,qwen1p5,0.7071,0.8243,38008c5d2f7dd42d,"state_discipline,conditional_write",state_conditional_write
"{'kv_set': 1, 'FINISH': 1}",keep-55,SD_PROTECT_WRONG_FINAL,gen_state_overwrite_protection_001,no failure reproduced,1.567,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'FINISH': 1}",keep-64,SD_PROTECT_WRONG_FINAL,gen_state_overwrite_protection_002,no failure reproduced,1.53,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'FINISH': 1}",keep-22,SD_PROTECT_WRONG_FINAL,gen_state_overwrite_protection_003,no failure reproduced,1.54,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 2, 'FINISH': 1}",swap-749,SD_PROTECT_OVERWRITTEN,gen_state_overwrite_protection_004,,2.732,VALID,qwen1p5,1.0,1.0,17ba717b66d19d49,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'FINISH': 1}",keep-67,SD_PROTECT_WRONG_FINAL,gen_state_overwrite_protection_005,no failure reproduced,1.524,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,overwrite_protection",state_overwrite_protection
"{'kv_set': 1, 'calc': 5, 'file_read': 2, 'file_write': 1, 'kv_get': 3, 'MAX_STEPS': 1}",,SD_READ_WRONG_FINAL,gen_state_read_before_write_001,,15.875,VALID,qwen1p5,1.0,1.0,ee1cc4a608f85ef7,"state_discipline,read_before_write",state_read_before_write
"{'kv_set': 1, 'calc': 4, 'file_read': 4, 'file_write': 3, 'MAX_STEPS': 1}",,SD_READ_WRONG_FINAL,gen_state_read_before_write_002,,13.771,VALID,qwen1p5,1.0,1.0,868072a99fdd3dd9,"state_discipline,read_before_write",state_read_before_write
"{'kv_set': 1, 'MALFORMED': 1, 'calc': 10, 'MAX_STEPS': 1}",,SD_READ_WRONG_FINAL,gen_state_read_before_write_003,,22.224,VALID,qwen1p5,1.0,1.0,803b946ccdcd1b52,"state_discipline,read_before_write",state_read_before_write
"{'kv_set': 1, 'calc': 2, 'file_read': 1, 'file_write': 1, 'FINISH': 1}",169,SD_READ_WRONG_FINAL,gen_state_read_before_write_004,,5.732,VALID,qwen1p5,1.0,1.0,b3c43b8acd45e548,"state_discipline,read_before_write",state_read_before_write
"{'kv_set': 1, 'calc': 2, 'file_read': 1, 'file_write': 1, 'FINISH': 1}",46,SD_READ_WRONG_FINAL,gen_state_read_before_write_005,no failure reproduced,5.76,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,read_before_write",state_read_before_write
"{'MALFORMED': 2, 'kv_set': 1, 'FINISH': 1}",93,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_001,,3.714,VALID,qwen1p5,1.0,1.0,81dd6c3c3827137d,"state_discipline,state_rollback",state_rollback
"{'MALFORMED': 2, 'kv_set': 1, 'FINISH': 1}",85,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_002,,3.728,VALID,qwen1p5,0.7071,0.8243,81dd6c3c3827137d,"state_discipline,state_rollback",state_rollback
"{'MALFORMED': 2, 'kv_set': 1, 'FINISH': 1}",76,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_003,,3.658,VALID,qwen1p5,0.5774,0.7464,81dd6c3c3827137d,"state_discipline,state_rollback",state_rollback
"{'MALFORMED': 2, 'kv_set': 1, 'FINISH': 1}",88,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_004,,3.662,VALID,qwen1p5,0.5,0.7,81dd6c3c3827137d,"state_discipline,state_rollback",state_rollback
"{'MALFORMED': 2, 'kv_set': 1, 'FINISH': 1}",70,SD_ROLLBACK_NOT_RESTORED,gen_state_rollback_005,,3.65,VALID,qwen1p5,0.4472,0.6683,81dd6c3c3827137d,"state_discipline,state_rollback",state_rollback
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_001,,1.736,VALID,qwen1p5,1.0,1.0,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_002,,1.806,VALID,qwen1p5,0.7071,0.8243,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_003,no failure reproduced,1.679,AGENT_PASSED,qwen1p5,,0.0,,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_004,,1.717,VALID,qwen1p5,0.5774,0.7464,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
"{'file_append': 1, 'FINISH': 1}",done,SD_SEQUENCE_WRONG_ORDER,gen_state_sequence_dependency_005,,1.744,VALID,qwen1p5,0.5,0.7,56cb78e0873469e3,"state_discipline,sequence_dependency",state_sequence_dependency
